EventId,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt,Weight,Label
100000,138.47,51.655,97.827,27.98,0.91,124.711,2.666,3.064,41.928,197.76,1.582,1.396,0.2,32.638,1.017,0.381,51.626,2.273,-2.414,16.824,-0.277,258.733,2,67.435,2.15,0.444,46.062,1.24,-2.475,113.497,0.002653311,s
100001,160.937,68.768,103.235,48.146,1.181141628,80.10281226,0.974677806,3.473,2.078,125.157,0.879,1.414,0.468757017,42.014,2.039,-3.011,36.918,0.501,0.103,44.704,-1.916,164.546,1,46.226,0.725,1.158,17.69837626,1.775243239,-1.407734605,46.226,2.233584487,b
100002,215.8628314,162.172,125.953,35.635,3.815898621,721.6662239,-5.354681492,3.148,9.336,197.814,3.776,1.414,0.803404446,32.154,-0.705,-2.093,121.409,-0.953,1.052,54.283,-2.186,260.414,1,44.251,2.053,-2.028,55.21108867,-5.221916379,1.450969369,44.251,2.347388944,b
100003,143.905,81.417,80.943,0.414,1.443933719,-94.94429971,1.971771685,3.31,0.414,75.968,2.354,-1.285,0.448760349,22.647,-1.655,0.01,53.321,-0.522,-3.1,31.082,0.06,86.062,0,33.51884718,-0.33782785,1.693942265,7.883808856,1.329845241,1.041001344,0,5.446378212,b
100004,175.864,16.915,134.805,16.405,2.013718833,238.7862222,-3.212906575,3.891,16.405,57.983,1.056,-1.385,0.421336893,28.209,-2.197,-2.231,29.774,0.798,1.569,2.723,-0.871,53.131,0,29.60484299,-0.554718214,-0.53931374,57.95336434,-1.251708075,-1.583096174,0,6.245332687,b
100005,89.744,13.55,59.149,116.344,2.636,284.584,-0.54,1.362,61.619,278.876,0.588,0.479,0.975,53.651,0.371,1.329,31.565,-0.884,1.857,40.735,2.237,282.849,3,90.547,-2.412,-0.653,56.165,0.224,3.106,193.66,0.083414031,b
100006,148.754,28.862,107.782,106.13,0.733,158.359,0.113,2.941,2.545,305.967,3.371,1.393,0.791,28.85,1.113,2.409,97.24,0.675,-0.966,38.421,-1.443,294.074,2,123.01,0.864,1.45,56.867,0.131,-2.767,179.877,0.002653311,s
100007,154.916,10.418,94.714,29.169,2.539014266,191.3913619,0.313683981,2.897,1.526,138.178,0.365,-1.305,0.538680291,78.8,0.654,1.547,28.74,0.506,-1.347,22.275,-1.761,187.299,1,30.638,-0.715,-1.724,35.7812092,0.417794415,0.424827942,30.638,0.018636117,s
100008,105.594,50.559,100.989,4.288,0.671158259,-421.7594994,3.093891633,2.904,4.288,65.333,0.675,-1.366,-0.114975586,39.008,2.433,-2.532,26.325,0.21,1.884,37.791,0.024,129.804,0,40.34662864,-0.043454664,0.633081926,51.0729552,0.266380955,-0.556574176,0,5.296002985,b
100009,128.053,88.941,69.272,193.392,6.260310136,1051.954971,-7.163101352,1.609,28.859,255.123,0.599,0.538,1.22515343,54.646,-1.533,0.416,32.742,-0.317,-0.636,132.678,0.845,294.741,1,167.735,-2.767,-2.514,52.20259692,1.302480332,0.717285591,167.735,0.00150187,s
